Temperatura,Humedad
25.1,46
25.1,46
25.2,46
25.2,46
25.3,46
25.3,46
25.3,45
25.3,45
25.3,45
25.3,45
25.2,45
25.1,45
25.1,45
25.1,45
25.1,45
25.1,46
25.1,46
25.1,46
25.2,46
25.2,46
25.3,46
25.4,45
25.5,45
25.6,45
25.6,45
25.6,45
25.6,45
25.6,45
25.6,45
25.6,45
25.6,45
25.6,45
25.6,45
25.6,45
25.6,45
25.5,45
25.5,45
25.5,45
25.4,45
25.4,46
25.4,46
25.4,46
25.4,46
25.4,46
25.4,46
25.4,46
25.4,46
25.4,46
26.3,55
27.7,63
28.8,63
29.4,61
29.4,59
28.9,48
27.7,39
26.7,39
26.2,42
25.9,43
25.8,44
25.7,45
25.7,45
25.7,45
25.7,45
25.6,46
25.6,46
25.6,46
25.5,46
25.5,46
25.5,46
25.5,46
25.5,46
25.4,47
25.4,47
25.4,47
25.3,47
25.3,48
25.3,48
25.3,48
25.2,48
25.2,48
25.2,48
25.2,48
25.2,48
25.2,48
25.2,48
25.2,48
25.2,48
25.1,48
25.1,48
25.1,48
25.1,48
25.1,48
25.1,48
25.1,49
25.1,49
25.1,49
25,49
25,49
25,49
25,49
25,49
24.9,49
24.8,49
24.8,50
24.7,50
24.7,50
24.7,50
24.6,50
24.6,50
24.6,50
24.6,51
24.6,51
24.6,51
24.5,51
24.5,51
24.5,51
24.4,51
24.4,52
24.4,52
24.4,52
24.3,52
24.3,52
24.2,53
24.2,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,54
24.1,54
24,54
24,54
24,54
24,54
24,54
24,54
23.9,54
23.9,54
23.9,54
23.9,54
23.9,54
23.9,54
23.9,54
23.9,54
23.9,54
23.9,54
23.8,54
23.8,54
23.8,54
23.8,54
23.8,54
23.7,54
23.7,54
23.7,54
23.7,54
23.6,54
23.6,54
23.6,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.4,54
23.4,54
23.4,54
23.4,54
23.4,54
23.4,54
23.4,54
23.4,54
23.4,53
23.4,53
23.4,53
23.4,53
23.3,53
23.3,53
23.3,53
23.2,54
23.2,54
23.2,54
23.2,54
23.2,54
23.2,53
23.2,53
23.2,53
23.2,53
23.2,53
23.2,53
23.2,53
23.1,53
23.1,53
23,53
23,53
23,53
23,53
23,53
23,53
23,53
23,54
23,54
23,55
23,55
23,55
23,55
22.9,55
22.9,55
22.9,56
22.8,56
22.8,56
22.8,56
22.8,56
22.8,56
22.8,56
22.8,56
22.8,56
22.9,56
22.9,56
22.9,56
22.8,56
22.8,56
22.8,56
22.7,55
22.7,56
22.6,55
22.6,56
22.6,56
22.5,56
22.5,56
22.5,56
22.4,56
22.4,56
22.4,57
22.4,57
22.4,57
22.4,57
22.4,57
22.4,57
22.4,57
22.4,57
22.3,57
22.3,57
22.3,57
22.3,57
22.3,58
22.3,58
22.3,58
22.2,58
22.2,58
22.2,58
22.1,58
22.1,58
22.1,58
22.1,58
22,58
22,59
22,59
22,59
22,59
22,58
22,58
22,59
22,59
22,59
22.1,59
22.1,59
22.1,59
22.1,59
22.2,59
22.2,59
22.2,59
22.3,59
22.3,59
22.3,59
22.2,59
22.1,59
22.1,59
22,59
22,59
21.9,59
21.9,59
21.9,59
21.9,59
21.9,59
21.9,60
21.9,60
21.9,60
22,59
22.1,59
22.2,59
22.3,59
22.4,58
22.4,58
22.4,58
22.4,58
22.4,58
22.5,58
22.5,58
22.5,58
22.5,58
22.5,57
22.5,57
22.5,57
22.5,57
22.5,57
22.5,57
22.5,57
22.5,57
22.5,57
22.5,56
22.5,56
22.5,56
22.4,56
22.4,56
22.4,56
22.4,56
22.4,56
22.4,56
22.4,56
22.3,56
22.3,56
22.3,56
22.3,56
22.3,56
22.4,56
22.4,56
22.4,56
22.5,55
22.6,55
22.9,54
23.3,54
23.6,53
24,52
24.3,51
24.4,50
24.4,49
24.4,49
24.3,49
24.2,49
24.2,49
24.2,49
24.2,49
24.3,49
24.3,49
24.3,49
24.4,49
24.4,49
24.4,48
24.4,48
24.4,48
24.4,48
24.4,48
24.4,48
24.5,48
24.5,48
24.6,48
24.7,48
24.8,47
24.8,47
24.8,47
24.8,47
24.8,47
24.8,47
24.8,47
24.8,47
24.8,48
24.8,48
24.8,48
24.9,48
24.9,48
24.9,48
25,47
25,47
25,47
25.1,47
25.1,47
25.1,47
25.1,47
25.1,47
25.1,47
25.1,47
25.1,47
25.1,47
25.1,48
25,48
25,48
25,48
25,48
25,48
25,48
25,48
24.9,48
24.9,48
24.9,48
24.8,48
24.8,48
24.8,48
24.9,48
24.9,48
24.9,48
24.9,48
24.8,48
24.8,48
24.8,48
24.7,48
24.7,48
24.7,48
24.7,49
24.7,49
24.7,49
24.8,49
24.8,49
24.8,49
24.8,49
24.9,49
24.9,49
24.9,49
24.9,49
24.9,49
25,49
25,49
25,49
25,49
25.1,49
25.2,49
25.2,49
25.2,49
25.2,49
25.1,49
24.9,50
24.7,50
24.5,51
24.5,51
24.4,51
24.3,52
24.3,52
24.3,52
24.3,52
24.3,52
24.3,52
24.3,52
24.3,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24,53
24,53
24,53
24,53
24,53
24,54
23.9,54
23.9,54
23.9,54
23.9,54
23.9,54
23.9,54
23.9,53
23.9,53
23.9,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.8,53
23.7,53
23.8,53
23.8,53
23.7,53
23.7,53
23.7,53
23.7,53
23.7,53
23.7,53
23.7,54
23.7,54
23.7,54
23.7,54
23.6,54
23.6,54
23.6,54
23.6,54
23.6,54
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.5,53
23.5,53
23.5,53
23.5,53
23.4,53
23.4,54
23.4,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,53
23.5,53
23.5,53
23.5,53
23.5,53
23.5,53
23.5,53
23.5,53
23.5,53
23.5,53
23.5,54
23.5,54
23.5,54
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.5,53
23.5,53
23.5,53
23.5,53
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.4,54
23.4,54
23.4,54
23.4,54
23.4,54
23.4,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.6,54
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.6,53
23.5,53
23.5,53
23.5,53
23.5,54
23.4,54
23.4,54
23.4,54
23.3,55
23.3,55
23.3,55
23.3,55
23.3,55
23.3,55
23.3,55
23.3,55
23.3,55
23.3,55
23.4,55
23.4,55
23.4,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,53
23.5,53
23.5,53
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,53
23.5,53
23.5,53
23.5,53
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.5,54
23.4,54
23.4,54
23.4,54
23.4,54
23.4,55
23.4,55
23.4,55
23.4,55
23.4,55
23.3,55
23.3,55
23.2,55
23.2,55
23.1,55
23.1,56
23.1,56
23,56
23,56
23,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23,56
23,56
23,56
23,56
23,56
23,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.2,56
23.2,56
23.2,56
23.2,56
23.2,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23,56
23,56
23,56
23,56
23,56
23,56
23,56
23,56
23,56
23,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23.1,56
23,56
23,56
23,56
23,57
23,57
22.9,57
22.9,57
22.9,57
22.8,57
22.8,57
22.8,57
22.7,57
22.7,57
22.7,57
22.7,57
22.7,57
22.7,57
22.8,57
22.8,57
22.8,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,56
22.9,56
22.9,56
22.9,56
22.9,56
22.9,56
22.9,56
23,56
23,56
23,56
23,56
23,56
23,56
23,56
23,56
23,56
22.9,56
22.9,56
22.9,56
22.8,57
22.8,57
22.7,57
22.7,57
22.7,57
22.7,57
22.7,57
22.8,57
22.8,57
22.8,57
22.8,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
23,57
23,57
23,57
23,57
23,57
23,57
23,57
22.9,57
22.9,57
23,57
23,57
23,57
23,57
22.9,57
22.9,57
22.8,57
22.8,57
22.7,57
22.7,57
22.7,57
22.6,58
22.6,58
22.6,58
22.6,58
22.6,58
22.5,58
22.5,58
22.5,58
22.5,58
22.5,58
22.6,58
22.6,58
22.6,58
22.6,58
22.7,58
22.7,58
22.7,58
22.7,58
22.7,58
22.7,58
22.7,57
22.7,57
22.7,57
22.7,57
22.8,57
22.8,57
22.8,57
22.8,57
22.8,57
22.8,57
22.8,57
22.8,57
22.8,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
23,57
23,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,58
22.9,58
22.9,58
22.9,58
22.9,58
22.9,58
22.9,58
22.8,58
22.8,58
22.8,58
22.7,58
22.7,58
22.7,58
22.6,58
22.6,58
22.6,58
22.5,59
22.5,59
22.5,59
22.6,59
22.6,59
22.6,58
22.6,58
22.5,58
22.4,58
22.4,58
22.4,58
22.4,58
22.4,59
22.4,59
22.5,59
22.5,59
22.5,58
22.5,58
22.6,58
22.6,58
22.6,58
22.7,58
22.7,58
22.7,58
22.7,58
22.7,58
22.8,58
22.8,58
22.8,58
22.8,58
22.8,58
22.8,58
22.8,58
22.8,58
22.9,58
22.9,59
22.9,59
22.9,59
22.9,59
22.9,58
22.9,58
22.9,58
22.9,58
22.9,58
22.9,58
22.9,58
22.9,58
22.8,57
22.7,57
22.6,57
22.5,58
22.4,58
22.4,58
22.4,58
22.4,58
22.5,58
22.6,58
22.7,58
22.7,57
22.8,57
22.8,57
22.8,57
22.8,57
22.8,57
22.7,57
22.7,58
22.7,58
22.7,58
22.6,58
22.6,58
22.6,58
22.7,58
22.7,57
22.8,57
22.8,57
22.9,57
22.9,57
22.9,57
22.9,57
22.9,57
22.8,57
22.8,58
22.8,58
22.8,58
22.8,58
22.9,58
22.9,57
23,57
23,57
23,57
23,57
23,57
23,58
23,58
23,58
23.1,58
23.1,58
23.1,57
23.1,57
23.1,57
23.2,57
23.1,57
23.1,57
23.1,57
23.1,58
23.1,58
23.2,58
23.2,58
23.3,57
23.3,57
23.4,57
23.4,57
23.4,57
23.4,57
23.4,56
23.5,56
23.5,56
23.6,56
23.6,55
23.6,55
23.6,55
23.6,55
23.6,55
23.6,55
23.6,55
23.5,56
23.5,56
23.5,56
23.5,56
23.5,56
23.5,56
23.6,56
23.6,56
23.6,56
23.6,56
23.7,56
23.7,55
23.7,55
23.7,55
23.7,55
23.7,56
23.7,56
23.7,56
23.7,57
23.6,57
23.6,57
23.7,57
23.7,57
23.7,57
23.7,57
23.8,56
23.8,56
23.8,56
23.8,56
23.8,56
23.8,56
23.8,56
23.9,56
23.9,56
23.9,56
24,56
24,56
24,56
24,56
24,56
24,56
23.9,56
23.9,56
23.9,56
23.9,56
23.8,56
23.8,56
23.8,56
23.8,56
23.8,56
23.8,56
23.8,56
23.8,56
23.8,56
23.8,55
23.9,54
23.9,53
23.9,53
24,53
24,54
24.1,53
24.1,53
24.2,53
24.2,53
24.3,53
24.3,53
24.3,53
24.3,53
24.3,53
24.3,53
24.2,53
24.1,53
24,53
24,53
24,53
24,53
24,53
24,53
24,53
24,53
24,53
24.1,53
24.1,53
24.2,53
24.2,54
24.2,54
24.2,55
24.2,55
24.3,55
24.3,55
24.3,55
24.3,55
24.3,55
24.3,55
24.4,55
24.4,55
24.4,55
24.5,55
24.6,54
24.6,54
24.7,54
24.7,54
24.7,54
24.8,54
24.8,54
24.9,54
24.9,54
24.9,53
25,53
25,53
25,53
25,53
25,53
25,53
25.1,53
25.1,53
25.1,53
25.1,53
25.1,52
25.7,51
25.7,51
25.7,51
25.7,51
25.7,51
25.7,51
25.6,51
25.5,51
25.5,51
25.4,52
25.3,52
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
25.3,52
25.3,51
25.3,51
25.3,51
25.3,51
25.3,51
25.2,51
25.2,51
25.2,51
25.2,51
25.2,51
25.2,51
25.2,51
25.2,51
25.3,51
25.3,51
25.3,51
25.3,51
25.3,51
25.3,51
25.3,51
25.4,51
25.4,51
25.4,50
25.5,50
25.5,50
25.4,50
25.4,50
25.3,50
25.3,50
25.3,50
25.3,50
25.4,50
25.4,50
25.4,50
25.4,50
25.4,50
25.4,50
25.4,49
25.4,49
25.4,49
25.4,49
25.4,49
25.4,49
25.4,49
25.5,49
25.5,49
25.5,50
25.6,50
25.6,49
25.6,49
25.6,49
25.6,48
25.5,48
25.5,48
25.5,48
25.5,48
25.5,49
25.5,49
25.5,50
25.5,50
25.5,50
25.5,50
25.5,50
25.5,49
25.6,49
25.6,48
25.6,48
25.6,48
25.6,48
25.6,49
25.6,49
25.6,49
25.6,48
25.6,48
25.6,47
25.6,47
25.6,47
25.7,47
25.7,47
25.8,47
25.8,47
25.8,47
25.9,47
26,47
26,47
26.1,46
26.1,46
26.1,46
26.1,46
26,45
26,45
26,45
26,44
26,44
26.1,43
26.2,44
26.2,43
26.2,43
26.2,43
26.2,44
26.1,44
26.1,44
26.1,45
26,46
26,46
25.9,46
25.9,46
25.8,46
25.8,46
25.8,45
25.7,45
25.7,45
25.6,44
25.5,44
25.4,45
25.4,45
25.4,45
25.4,44
25.3,44
25.2,43
25.1,43
25,44
25,44
24.9,44
24.9,44
24.9,44
24.9,44
24.8,44
24.8,44
24.7,44
24.6,44
24.5,45
24.4,45
24.3,46
24.1,46
24,47
24,47
24,47
23.9,47
23.9,47
23.9,47
24,47
24,47
23.9,47
23.9,48
23.8,48
23.7,48
23.7,48
23.7,48
23.7,48
23.7,48
23.7,49
23.6,49
23.5,49
23.5,49
23.5,50
23.5,50
23.5,50
23.5,50
23.5,50
23.5,50
23.4,50
23.4,51
23.4,51
23.4,52
23.4,52
23.5,52
23.6,51
23.6,51
23.6,51
23.6,51
23.6,51
23.5,51
23.5,51
23.5,51
23.6,51
23.7,51
23.9,51
24,51
24.1,51
24.2,50
24.2,50
24.3,50
24.3,50
24.3,50
24.3,50
24.4,50
24.4,50
24.4,50
24.4,50
24.5,50
24.5,50
24.5,50
24.5,50
24.5,50
24.5,50
24.5,50
24.5,50
24.5,50
24.5,50
24.5,50
24.6,50
24.6,50
24.6,50
24.6,50
24.6,50
24.6,50
24.6,50
24.7,50
24.7,50
24.7,50
24.7,50
24.7,50
24.7,50
24.7,50
24.7,50
24.7,51
24.7,51
24.7,51
24.7,51
24.7,51
24.7,51
24.6,52
24.6,52
24.5,52
24.4,53
24.3,53
24.2,54
24.2,54
24.2,54
24.2,54
24.2,54
24.3,54
24.3,54
24.3,54
24.3,53
24.3,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,54
24.2,54
24.2,54
24.2,54
24.2,54
24.2,54
24.1,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,52
24.2,52
24.2,52
24.2,52
24.2,52
24.2,52
24.2,52
24.2,52
24.2,52
24.1,52
24.1,52
24.1,52
24.1,52
24.1,52
24.1,52
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.1,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.2,53
24.3,53
24.3,53
24.3,53
24.3,53
24.3,53
24.3,53
24.3,53
24.3,53
24.3,53
24.3,53
24.3,53
24.2,54
